scenario,geometry,metric,mean,sd,q05,q50,q95
benign_long_run,nearest_web,graph_edges,46.750000,1.422226,44.550000,47.000000,48.000000
benign_long_run,nearest_web,total_corridor_length,6.692702,0.458983,6.004129,6.648601,7.298649
benign_long_run,nearest_web,failed_edges,0.000000,0.000000,0.000000,0.000000,0.000000
benign_long_run,nearest_web,final_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
benign_long_run,nearest_web,long_run_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
benign_long_run,nearest_web,recent_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
benign_long_run,nearest_web,persistent_species_per_length,0.875185,0.083642,0.761095,0.872819,1.001431
benign_long_run,nearest_web,final_mean_occupancy,0.547454,0.030173,0.500694,0.552083,0.589583
benign_long_run,nearest_web,recent_evenness,0.875500,0.040646,0.817479,0.878924,0.924287
benign_long_run,nearest_web,recent_regional_total,3464.824675,187.986702,3138.424498,3513.448153,3704.709019
benign_long_run,nearest_web,recent_regional_total_cv,0.000000,0.000000,0.000000,0.000000,0.000000
benign_long_run,nearest_web,recent_relative_trend_per_1000_steps,-0.000000,0.000000,-0.000000,0.000000,0.000000
benign_long_run,nearest_web,quasi_stationary_flag,1.000000,0.000000,1.000000,1.000000,1.000000
benign_long_run,nearest_web,species_extinctions,0.166667,0.389249,0.000000,0.000000,1.000000
benign_long_run,minimum_spanning_tree,graph_edges,23.000000,0.000000,23.000000,23.000000,23.000000
benign_long_run,minimum_spanning_tree,total_corridor_length,2.624492,0.151482,2.437467,2.581080,2.869876
benign_long_run,minimum_spanning_tree,failed_edges,0.000000,0.000000,0.000000,0.000000,0.000000
benign_long_run,minimum_spanning_tree,final_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
benign_long_run,minimum_spanning_tree,long_run_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
benign_long_run,minimum_spanning_tree,recent_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
benign_long_run,minimum_spanning_tree,persistent_species_per_length,2.229372,0.197580,1.913446,2.264479,2.461575
benign_long_run,minimum_spanning_tree,final_mean_occupancy,0.545139,0.027857,0.503819,0.548611,0.579514
benign_long_run,minimum_spanning_tree,recent_evenness,0.875945,0.040248,0.817823,0.879842,0.923393
benign_long_run,minimum_spanning_tree,recent_regional_total,3464.316013,189.348646,3134.115405,3511.298759,3703.722565
benign_long_run,minimum_spanning_tree,recent_regional_total_cv,0.000000,0.000000,0.000000,0.000000,0.000000
benign_long_run,minimum_spanning_tree,recent_relative_trend_per_1000_steps,-0.000000,0.000000,-0.000000,0.000000,0.000000
benign_long_run,minimum_spanning_tree,quasi_stationary_flag,1.000000,0.000000,1.000000,1.000000,1.000000
benign_long_run,minimum_spanning_tree,species_extinctions,0.166667,0.389249,0.000000,0.000000,1.000000
benign_long_run,dendritic_tree,graph_edges,38.000000,0.000000,38.000000,38.000000,38.000000
benign_long_run,dendritic_tree,total_corridor_length,4.688672,0.400456,4.104977,4.769673,5.178100
benign_long_run,dendritic_tree,failed_edges,0.000000,0.000000,0.000000,0.000000,0.000000
benign_long_run,dendritic_tree,final_persistent_species,5.750000,0.452267,5.000000,6.000000,6.000000
benign_long_run,dendritic_tree,long_run_persistent_species,5.750000,0.452267,5.000000,6.000000,6.000000
benign_long_run,dendritic_tree,recent_persistent_species,5.750000,0.452267,5.000000,6.000000,6.000000
benign_long_run,dendritic_tree,persistent_species_per_length,1.235546,0.149638,0.988311,1.236721,1.437452
benign_long_run,dendritic_tree,final_mean_occupancy,0.545718,0.029973,0.496875,0.548611,0.579514
benign_long_run,dendritic_tree,recent_evenness,0.875064,0.040920,0.816901,0.881195,0.924246
benign_long_run,dendritic_tree,recent_regional_total,3457.703814,185.348237,3134.818171,3505.003319,3696.644383
benign_long_run,dendritic_tree,recent_regional_total_cv,0.000000,0.000000,0.000000,0.000000,0.000000
benign_long_run,dendritic_tree,recent_relative_trend_per_1000_steps,-0.000000,0.000000,-0.000000,0.000000,0.000000
benign_long_run,dendritic_tree,quasi_stationary_flag,1.000000,0.000000,1.000000,1.000000,1.000000
benign_long_run,dendritic_tree,species_extinctions,0.166667,0.389249,0.000000,0.000000,1.000000
benign_long_run,hybrid_dendritic,graph_edges,41.000000,0.000000,41.000000,41.000000,41.000000
benign_long_run,hybrid_dendritic,total_corridor_length,5.056971,0.369298,4.599002,5.133028,5.561998
benign_long_run,hybrid_dendritic,failed_edges,0.000000,0.000000,0.000000,0.000000,0.000000
benign_long_run,hybrid_dendritic,final_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
benign_long_run,hybrid_dendritic,long_run_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
benign_long_run,hybrid_dendritic,recent_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
benign_long_run,hybrid_dendritic,persistent_species_per_length,1.158141,0.104748,1.015897,1.147364,1.304577
benign_long_run,hybrid_dendritic,final_mean_occupancy,0.550926,0.032751,0.504514,0.555556,0.592708
benign_long_run,hybrid_dendritic,recent_evenness,0.875437,0.040577,0.817153,0.880391,0.923603
benign_long_run,hybrid_dendritic,recent_regional_total,3461.467545,184.085287,3144.912818,3506.873531,3695.897895
benign_long_run,hybrid_dendritic,recent_regional_total_cv,0.000000,0.000000,0.000000,0.000000,0.000000
benign_long_run,hybrid_dendritic,recent_relative_trend_per_1000_steps,-0.000000,0.000000,-0.000000,0.000000,0.000000
benign_long_run,hybrid_dendritic,quasi_stationary_flag,1.000000,0.000000,1.000000,1.000000,1.000000
benign_long_run,hybrid_dendritic,species_extinctions,0.166667,0.389249,0.000000,0.000000,1.000000
costly_movement,nearest_web,graph_edges,46.750000,1.422226,44.550000,47.000000,48.000000
costly_movement,nearest_web,total_corridor_length,6.692702,0.458983,6.004129,6.648601,7.298649
costly_movement,nearest_web,failed_edges,0.000000,0.000000,0.000000,0.000000,0.000000
costly_movement,nearest_web,final_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
costly_movement,nearest_web,long_run_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
costly_movement,nearest_web,recent_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
costly_movement,nearest_web,persistent_species_per_length,0.875185,0.083642,0.761095,0.872819,1.001431
costly_movement,nearest_web,final_mean_occupancy,0.543403,0.029924,0.493056,0.552083,0.582639
costly_movement,nearest_web,recent_evenness,0.876110,0.040777,0.817403,0.880411,0.925053
costly_movement,nearest_web,recent_regional_total,3441.356241,189.007756,3113.275581,3488.878972,3682.802314
costly_movement,nearest_web,recent_regional_total_cv,0.000000,0.000000,0.000000,0.000000,0.000000
costly_movement,nearest_web,recent_relative_trend_per_1000_steps,-0.000000,0.000000,-0.000000,0.000000,0.000000
costly_movement,nearest_web,quasi_stationary_flag,1.000000,0.000000,1.000000,1.000000,1.000000
costly_movement,nearest_web,species_extinctions,0.166667,0.389249,0.000000,0.000000,1.000000
costly_movement,minimum_spanning_tree,graph_edges,23.000000,0.000000,23.000000,23.000000,23.000000
costly_movement,minimum_spanning_tree,total_corridor_length,2.624492,0.151482,2.437467,2.581080,2.869876
costly_movement,minimum_spanning_tree,failed_edges,0.000000,0.000000,0.000000,0.000000,0.000000
costly_movement,minimum_spanning_tree,final_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
costly_movement,minimum_spanning_tree,long_run_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
costly_movement,minimum_spanning_tree,recent_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
costly_movement,minimum_spanning_tree,persistent_species_per_length,2.229372,0.197580,1.913446,2.264479,2.461575
costly_movement,minimum_spanning_tree,final_mean_occupancy,0.544560,0.028626,0.503819,0.548611,0.579514
costly_movement,minimum_spanning_tree,recent_evenness,0.876355,0.040507,0.817583,0.880906,0.924214
costly_movement,minimum_spanning_tree,recent_regional_total,3439.879034,190.459828,3107.177821,3485.521266,3681.444920
costly_movement,minimum_spanning_tree,recent_regional_total_cv,0.000000,0.000000,0.000000,0.000000,0.000000
costly_movement,minimum_spanning_tree,recent_relative_trend_per_1000_steps,-0.000000,0.000000,-0.000000,0.000000,0.000000
costly_movement,minimum_spanning_tree,quasi_stationary_flag,1.000000,0.000000,1.000000,1.000000,1.000000
costly_movement,minimum_spanning_tree,species_extinctions,0.166667,0.389249,0.000000,0.000000,1.000000
costly_movement,dendritic_tree,graph_edges,38.000000,0.000000,38.000000,38.000000,38.000000
costly_movement,dendritic_tree,total_corridor_length,4.688672,0.400456,4.104977,4.769673,5.178100
costly_movement,dendritic_tree,failed_edges,0.000000,0.000000,0.000000,0.000000,0.000000
costly_movement,dendritic_tree,final_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
costly_movement,dendritic_tree,long_run_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
costly_movement,dendritic_tree,recent_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
costly_movement,dendritic_tree,persistent_species_per_length,1.251085,0.122515,1.080698,1.236721,1.437452
costly_movement,dendritic_tree,final_mean_occupancy,0.540509,0.027593,0.496875,0.545139,0.576389
costly_movement,dendritic_tree,recent_evenness,0.875660,0.041237,0.816655,0.882540,0.925366
costly_movement,dendritic_tree,recent_regional_total,3423.887277,186.920339,3095.832332,3468.505252,3663.138916
costly_movement,dendritic_tree,recent_regional_total_cv,0.000000,0.000000,0.000000,0.000000,0.000000
costly_movement,dendritic_tree,recent_relative_trend_per_1000_steps,-0.000000,0.000000,-0.000000,0.000000,0.000000
costly_movement,dendritic_tree,quasi_stationary_flag,1.000000,0.000000,1.000000,1.000000,1.000000
costly_movement,dendritic_tree,species_extinctions,0.166667,0.389249,0.000000,0.000000,1.000000
costly_movement,hybrid_dendritic,graph_edges,41.000000,0.000000,41.000000,41.000000,41.000000
costly_movement,hybrid_dendritic,total_corridor_length,5.056971,0.369298,4.599002,5.133028,5.561998
costly_movement,hybrid_dendritic,failed_edges,0.000000,0.000000,0.000000,0.000000,0.000000
costly_movement,hybrid_dendritic,final_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
costly_movement,hybrid_dendritic,long_run_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
costly_movement,hybrid_dendritic,recent_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
costly_movement,hybrid_dendritic,persistent_species_per_length,1.158141,0.104748,1.015897,1.147364,1.304577
costly_movement,hybrid_dendritic,final_mean_occupancy,0.542245,0.032092,0.493750,0.545139,0.581944
costly_movement,hybrid_dendritic,recent_evenness,0.875986,0.040887,0.816973,0.881784,0.924156
costly_movement,hybrid_dendritic,recent_regional_total,3430.349902,185.717239,3109.605094,3473.566796,3666.435491
costly_movement,hybrid_dendritic,recent_regional_total_cv,0.000000,0.000000,0.000000,0.000000,0.000000
costly_movement,hybrid_dendritic,recent_relative_trend_per_1000_steps,-0.000000,0.000000,-0.000000,0.000000,0.000000
costly_movement,hybrid_dendritic,quasi_stationary_flag,1.000000,0.000000,1.000000,1.000000,1.000000
costly_movement,hybrid_dendritic,species_extinctions,0.166667,0.389249,0.000000,0.000000,1.000000
edge_disturbance,nearest_web,graph_edges,45.916667,2.503028,41.550000,47.000000,48.000000
edge_disturbance,nearest_web,total_corridor_length,6.493773,0.657810,5.436846,6.605220,7.152963
edge_disturbance,nearest_web,failed_edges,0.833333,1.946247,0.000000,0.000000,5.000000
edge_disturbance,nearest_web,final_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
edge_disturbance,nearest_web,long_run_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
edge_disturbance,nearest_web,recent_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
edge_disturbance,nearest_web,persistent_species_per_length,0.909447,0.136379,0.761095,0.886597,1.121517
edge_disturbance,nearest_web,final_mean_occupancy,0.544560,0.030980,0.493056,0.552083,0.586458
edge_disturbance,nearest_web,recent_evenness,0.875913,0.040663,0.817520,0.880009,0.924697
edge_disturbance,nearest_web,recent_regional_total,3452.248385,188.109323,3126.143766,3500.563961,3692.520053
edge_disturbance,nearest_web,recent_regional_total_cv,0.000000,0.000000,0.000000,0.000000,0.000000
edge_disturbance,nearest_web,recent_relative_trend_per_1000_steps,-0.000000,0.000000,-0.000000,0.000000,0.000000
edge_disturbance,nearest_web,quasi_stationary_flag,1.000000,0.000000,1.000000,1.000000,1.000000
edge_disturbance,nearest_web,species_extinctions,0.166667,0.389249,0.000000,0.000000,1.000000
edge_disturbance,minimum_spanning_tree,graph_edges,23.000000,0.000000,23.000000,23.000000,23.000000
edge_disturbance,minimum_spanning_tree,total_corridor_length,2.624492,0.151482,2.437467,2.581080,2.869876
edge_disturbance,minimum_spanning_tree,failed_edges,0.000000,0.000000,0.000000,0.000000,0.000000
edge_disturbance,minimum_spanning_tree,final_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
edge_disturbance,minimum_spanning_tree,long_run_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
edge_disturbance,minimum_spanning_tree,recent_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
edge_disturbance,minimum_spanning_tree,persistent_species_per_length,2.229372,0.197580,1.913446,2.264479,2.461575
edge_disturbance,minimum_spanning_tree,final_mean_occupancy,0.544560,0.028626,0.503819,0.548611,0.579514
edge_disturbance,minimum_spanning_tree,recent_evenness,0.876179,0.040392,0.817690,0.880444,0.923860
edge_disturbance,minimum_spanning_tree,recent_regional_total,3450.544181,189.951709,3118.949713,3496.771160,3691.148513
edge_disturbance,minimum_spanning_tree,recent_regional_total_cv,0.000000,0.000000,0.000000,0.000000,0.000000
edge_disturbance,minimum_spanning_tree,recent_relative_trend_per_1000_steps,-0.000000,0.000000,-0.000000,0.000000,0.000000
edge_disturbance,minimum_spanning_tree,quasi_stationary_flag,1.000000,0.000000,1.000000,1.000000,1.000000
edge_disturbance,minimum_spanning_tree,species_extinctions,0.166667,0.389249,0.000000,0.000000,1.000000
edge_disturbance,dendritic_tree,graph_edges,38.000000,0.000000,38.000000,38.000000,38.000000
edge_disturbance,dendritic_tree,total_corridor_length,4.688672,0.400456,4.104977,4.769673,5.178100
edge_disturbance,dendritic_tree,failed_edges,0.000000,0.000000,0.000000,0.000000,0.000000
edge_disturbance,dendritic_tree,final_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
edge_disturbance,dendritic_tree,long_run_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
edge_disturbance,dendritic_tree,recent_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
edge_disturbance,dendritic_tree,persistent_species_per_length,1.251085,0.122515,1.080698,1.236721,1.437452
edge_disturbance,dendritic_tree,final_mean_occupancy,0.543403,0.029032,0.496875,0.548611,0.579514
edge_disturbance,dendritic_tree,recent_evenness,0.875427,0.041090,0.816822,0.881999,0.924902
edge_disturbance,dendritic_tree,recent_regional_total,3438.376719,186.230131,3112.522126,3484.229929,3677.497123
edge_disturbance,dendritic_tree,recent_regional_total_cv,0.000000,0.000000,0.000000,0.000000,0.000000
edge_disturbance,dendritic_tree,recent_relative_trend_per_1000_steps,-0.000000,0.000000,-0.000000,0.000000,0.000000
edge_disturbance,dendritic_tree,quasi_stationary_flag,1.000000,0.000000,1.000000,1.000000,1.000000
edge_disturbance,dendritic_tree,species_extinctions,0.166667,0.389249,0.000000,0.000000,1.000000
edge_disturbance,hybrid_dendritic,graph_edges,41.000000,0.000000,41.000000,41.000000,41.000000
edge_disturbance,hybrid_dendritic,total_corridor_length,5.056971,0.369298,4.599002,5.133028,5.561998
edge_disturbance,hybrid_dendritic,failed_edges,0.000000,0.000000,0.000000,0.000000,0.000000
edge_disturbance,hybrid_dendritic,final_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
edge_disturbance,hybrid_dendritic,long_run_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
edge_disturbance,hybrid_dendritic,recent_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
edge_disturbance,hybrid_dendritic,persistent_species_per_length,1.158141,0.104748,1.015897,1.147364,1.304577
edge_disturbance,hybrid_dendritic,final_mean_occupancy,0.545139,0.032640,0.497569,0.545139,0.585069
edge_disturbance,hybrid_dendritic,recent_evenness,0.875774,0.040741,0.817104,0.881213,0.923971
edge_disturbance,hybrid_dendritic,recent_regional_total,3443.793649,184.950364,3125.078474,3487.791539,3679.047204
edge_disturbance,hybrid_dendritic,recent_regional_total_cv,0.000000,0.000000,0.000000,0.000000,0.000000
edge_disturbance,hybrid_dendritic,recent_relative_trend_per_1000_steps,-0.000000,0.000000,-0.000000,0.000000,0.000000
edge_disturbance,hybrid_dendritic,quasi_stationary_flag,1.000000,0.000000,1.000000,1.000000,1.000000
edge_disturbance,hybrid_dendritic,species_extinctions,0.166667,0.389249,0.000000,0.000000,1.000000
